N,N-grama,Freq,ratio,sentimiento
2,ni meses,83,33.2,negativo
2,recomiendo nada,66,33.0,negativo
2,muy descontento,180,32.72727272727273,negativo
2,nunca llegó,309,32.526315789473685,negativo
2,no contesta,80,32.0,negativo
2,meses esperando,64,32.0,negativo
2,sin recibir,64,32.0,negativo
2,estamos a,141,31.333333333333332,negativo
2,devolución el,77,30.8,negativo
2,recibido nada,107,30.571428571428573,negativo
2,horrible no,61,30.5,negativo
2,he tirado,137,30.444444444444443,negativo
2,durado ni,257,30.235294117647058,negativo
2,tirar el,287,30.210526315789473,negativo
2,ni si,75,30.0,negativo
2,pongo dos,73,29.2,negativo
2,producto defectuoso,58,29.0,negativo
2,mala experiencia,130,28.88888888888889,negativo
2,una mierda,187,28.76923076923077,negativo
2,de febrero,112,28.0,negativo
2,devolverlo no,125,27.77777777777778,negativo
2,mal servicio,69,27.6,negativo
2,procedo a,55,27.5,negativo
2,si quiera,82,27.333333333333332,negativo
2,una tomadura,54,27.0,negativo
2,para devolver,67,26.8,negativo
2,e recibido,93,26.571428571428573,negativo
2,no recomendable,239,26.555555555555557,negativo
2,sin funcionar,53,26.5,negativo
2,un fiasco,78,26.0,negativo
2,muy mala,1369,25.830188679245282,negativo
2,calidad pésima,102,25.5,negativo
2,a fecha,51,25.5,negativo
2,han cobrado,101,25.25,negativo
2,llego no,63,25.2,negativo
2,julio y,75,25.0,negativo
2,no recomiendo,848,24.941176470588236,negativo
2,devuelto no,137,24.90909090909091,negativo
2,comprar nada,87,24.857142857142858,negativo
2,de noviembre,99,24.75,negativo
2,haber llegado,156,24.0,negativo
2,fatal no,180,24.0,negativo
2,mala no,131,23.818181818181817,negativo
2,malísimo no,59,23.6,negativo
2,puedo devolverlo,82,23.428571428571427,negativo
2,tomadura de,70,23.333333333333332,negativo
2,mala compra,325,23.214285714285715,negativo
2,descontenta con,104,23.11111111111111,negativo
2,devolución no,136,22.666666666666668,negativo
2,funciona se,56,22.4,negativo
2,sido entregado,88,22.0,negativo
2,nada no,879,21.975,negativo
2,para colmo,120,21.818181818181817,negativo
2,decepcionado no,98,21.77777777777778,negativo
2,reembolso del,65,21.666666666666668,negativo
2,aparece como,65,21.666666666666668,negativo
2,diciembre y,86,21.5,negativo
2,dinero a,96,21.333333333333332,negativo
2,una basura,106,21.2,negativo
2,hoy de,74,21.142857142857142,negativo
2,de abril,105,21.0,negativo
2,es malísima,63,21.0,negativo
2,la basura,701,20.925373134328357,negativo
2,gustó nada,73,20.857142857142858,negativo
2,no aconsejo,92,20.444444444444443,negativo
2,vergüenza que,51,20.4,negativo
2,una decepción,385,20.263157894736842,negativo
2,de junio,81,20.25,negativo
2,gran decepción,111,20.181818181818183,negativo
2,llegado y,262,20.153846153846153,negativo
2,esperando el,161,20.125,negativo
2,el reembolso,342,20.11764705882353,negativo
2,vendedor no,502,20.08,negativo
2,ha entregado,60,20.0,negativo
2,una vergüenza,237,19.75,negativo
2,gustado nada,522,19.69811320754717,negativo
2,funciona ni,59,19.666666666666668,negativo
2,siquiera se,59,19.666666666666668,negativo
2,del dinero,196,19.6,negativo
2,funcionar no,166,19.529411764705884,negativo
2,el peor,125,19.23076923076923,negativo
2,una pérdida,57,19.0,negativo
2,como amazon,57,19.0,negativo
2,malo no,199,18.952380952380953,negativo
2,dinero pero,85,18.88888888888889,negativo
2,de octubre,94,18.8,negativo
2,me mandan,75,18.75,negativo
2,y nadie,103,18.727272727272727,negativo
2,único bueno,103,18.727272727272727,negativo
2,de diciembre,186,18.6,negativo
2,producto ni,83,18.444444444444443,negativo
2,durado menos,55,18.333333333333332,negativo
2,vale nada,55,18.333333333333332,negativo
2,devolver no,137,18.266666666666666,negativo
2,decepción no,73,18.25,negativo
2,devolución del,306,18.0,negativo
2,febrero y,54,18.0,negativo
2,puedo devolver,98,17.818181818181817,negativo
2,no responde,178,17.8,negativo
2,un desastre,547,17.365079365079364,negativo
2,funciona cuando,68,17.0,negativo
2,barato sale,161,16.94736842105263,negativo
2,y sigo,101,16.833333333333332,negativo
2,cuando quiere,84,16.8,negativo
2,muy malo,486,16.75862068965517,negativo
2,de pésima,66,16.5,negativo
2,durado meses,98,16.333333333333332,negativo
2,me dicen,253,16.322580645161292,negativo
2,reembolso y,57,16.285714285714285,negativo
2,sigo sin,122,16.266666666666666,negativo
2,ha partido,122,16.266666666666666,negativo
2,una decepcion,56,16.0,negativo
2,la devuelvo,95,15.833333333333334,negativo
2,devuelvo por,71,15.777777777777779,negativo
2,y roto,55,15.714285714285714,negativo
2,de agosto,102,15.692307692307692,negativo
2,devolver y,94,15.666666666666666,negativo
2,doy una,133,15.647058823529411,negativo
2,nada una,93,15.5,negativo
2,fatal la,62,15.5,negativo
2,y hoy,130,15.294117647058824,negativo
2,nadie me,84,15.272727272727273,negativo
2,a recibir,99,15.23076923076923,negativo
2,enero y,76,15.2,negativo
2,una respuesta,68,15.11111111111111,negativo
2,recibido no,150,15.0,negativo
2,llegado me,60,15.0,negativo
2,han devuelto,194,14.923076923076923,negativo
2,de mayo,82,14.909090909090908,negativo
2,es pésimo,67,14.88888888888889,negativo
2,no conecta,74,14.8,negativo
2,de marzo,96,14.76923076923077,negativo
2,dinero es,51,14.571428571428571,negativo
2,mala calidad,2316,14.475,negativo
2,decepcionado con,165,14.347826086956522,negativo
2,total no,57,14.25,negativo
2,nunca más,99,14.142857142857142,negativo
2,para devolverlo,120,14.117647058823529,negativo
2,llegado el,649,14.108695652173912,negativo
2,recomiendo en,252,14.0,negativo
2,durado dos,77,14.0,negativo
2,lo barato,209,13.933333333333334,negativo
2,recibido y,111,13.875,negativo
2,he solicitado,166,13.833333333333334,negativo
2,malo se,76,13.818181818181818,negativo
2,una verdadera,69,13.8,negativo
2,calidad mala,69,13.8,negativo
2,roto a,69,13.8,negativo
2,he escrito,62,13.777777777777779,negativo
2,cargo de,62,13.777777777777779,negativo
2,muy mal,1277,13.731182795698924,negativo
2,ni por,144,13.714285714285714,negativo
2,una fecha,61,13.555555555555555,negativo
2,devolví el,115,13.529411764705882,negativo
2,el dinero,1812,13.522388059701493,negativo
2,para nada,2287,13.492625368731563,negativo
2,no volveré,317,13.48936170212766,negativo
2,a nadie,262,13.435897435897436,negativo
2,venden como,53,13.25,negativo
2,defectuoso no,53,13.25,negativo
2,estoy esperando,363,13.2,negativo
2,dinero me,59,13.11111111111111,negativo
2,es malísimo,72,13.090909090909092,negativo
2,recibido el,540,13.012048192771084,negativo
2,muy malos,104,13.0,negativo
2,la devolucion,169,13.0,negativo
2,mes me,52,13.0,negativo
2,devolví no,97,12.933333333333334,negativo
2,he seguido,71,12.909090909090908,negativo
2,es pésima,116,12.88888888888889,negativo
2,mal producto,219,12.882352941176471,negativo
2,pongo una,147,12.782608695652174,negativo
2,devuelto el,368,12.689655172413794,negativo
2,uso ha,57,12.666666666666666,negativo
2,me envían,57,12.666666666666666,negativo
2,esperando a,133,12.666666666666666,negativo
2,es mentira,101,12.625,negativo
2,mes no,107,12.588235294117647,negativo
2,enviado un,69,12.545454545454545,negativo
2,abril y,50,12.5,negativo
2,entiendo como,100,12.5,negativo
2,y dejo,50,12.5,negativo
2,llegado roto,106,12.470588235294118,negativo
2,nunca me,498,12.45,negativo
2,mal embalado,62,12.4,negativo
2,mes ya,62,12.4,negativo
2,del importe,99,12.375,negativo
2,funcionar al,86,12.285714285714286,negativo
2,su devolución,110,12.222222222222221,negativo
2,he reclamado,61,12.2,negativo
2,segundo uso,61,12.2,negativo
2,la devolución,1301,12.102325581395348,negativo
2,de contactar,60,12.0,negativo
2,han entregado,114,12.0,negativo
2,descontento con,108,12.0,negativo
2,aún estoy,90,12.0,negativo
2,tan mala,54,12.0,negativo
2,a durado,90,12.0,negativo
2,en devolverlo,60,12.0,negativo
2,experiencia no,72,12.0,negativo
2,no merece,488,11.902439024390244,negativo
2,publicidad engañosa,82,11.714285714285714,negativo
2,entregado el,76,11.692307692307692,negativo
2,esperando que,146,11.68,negativo
2,perdida de,99,11.647058823529411,negativo
2,ha devuelto,64,11.636363636363637,negativo
2,ni dos,87,11.6,negativo
2,devuelto y,138,11.5,negativo
2,solo ha,69,11.5,negativo
2,de julio,114,11.4,negativo
2,dinero lo,57,11.4,negativo
2,a dejado,57,11.4,negativo
2,respuesta del,74,11.384615384615385,negativo
2,de enero,193,11.352941176470589,negativo
2,correos y,51,11.333333333333334,negativo
2,mes el,68,11.333333333333334,negativo
2,a devolver,350,11.290322580645162,negativo
2,está roto,62,11.272727272727273,negativo
2,solicitado la,90,11.25,negativo
2,ni siquiera,544,11.216494845360824,negativo
2,roto no,157,11.214285714285714,negativo
2,sale caro,195,11.142857142857142,negativo
2,he recibido,1732,11.138263665594856,negativo
2,duró un,50,11.11111111111111,negativo
2,llegado una,66,11.0,negativo
2,de devolución,317,10.931034482758621,negativo
2,dura nada,142,10.923076923076923,negativo
2,funcionar a,125,10.869565217391305,negativo
2,llego y,81,10.8,negativo
2,no cumple,518,10.791666666666666,negativo
2,pedido no,232,10.790697674418604,negativo
2,muy baja,307,10.771929824561404,negativo
2,mi pedido,215,10.75,negativo
2,dinero de,59,10.727272727272727,negativo
2,me llegue,107,10.7,negativo
2,muy malas,106,10.6,negativo
2,muy deficiente,53,10.6,negativo
2,devolución la,53,10.6,negativo
2,dejó de,482,10.593406593406593,negativo
2,devolver el,338,10.5625,negativo
2,comprar no,174,10.545454545454545,negativo
2,nada bien,152,10.482758620689655,negativo
2,dejo de,433,10.433734939759036,negativo
2,de funcionar,1615,10.419354838709678,negativo
2,nada ni,140,10.37037037037037,negativo
2,articulo no,57,10.363636363636363,negativo
2,encima no,124,10.333333333333334,negativo
2,contactar con,247,10.291666666666666,negativo
2,dos ocasiones,72,10.285714285714286,negativo
2,devolución y,267,10.26923076923077,negativo
2,una porquería,77,10.266666666666667,negativo
2,amazon que,118,10.26086956521739,negativo
2,no carga,353,10.231884057971014,negativo
2,de dinero,184,10.222222222222221,negativo
2,hemos devuelto,51,10.2,negativo
2,mi producto,51,10.2,negativo
2,nunca lo,107,10.19047619047619,negativo
2,que amazon,214,10.19047619047619,negativo
2,roto al,56,10.181818181818182,negativo
2,ha durado,953,10.084656084656086,negativo
2,no funciona,2745,10.0,negativo
2,que llegar,95,10.0,negativo
2,no vale,1180,10.0,negativo
2,los mensajes,85,10.0,negativo
2,de seguimiento,50,10.0,negativo
2,sigue sin,85,10.0,negativo
2,durado muy,50,10.0,negativo
2,he intentado,215,10.0,negativo
2,había pasado,115,10.0,negativo
2,seis meses,70,10.0,negativo
2,dejado de,756,9.947368421052632,negativo
2,a correos,84,9.882352941176471,negativo
2,fatal el,59,9.833333333333334,negativo
2,devuelto la,59,9.833333333333334,negativo
2,mala la,59,9.833333333333334,negativo
2,ni me,269,9.781818181818181,negativo
2,dinero y,234,9.75,negativo
2,llegué a,78,9.75,negativo
2,funcionar en,78,9.75,negativo
2,funciona no,287,9.728813559322035,negativo
2,me encuentro,111,9.652173913043478,negativo
2,he devuelto,1065,9.638009049773755,negativo
2,lo siento,157,9.515151515151516,negativo
2,no compensa,57,9.5,negativo
2,ninguna manera,57,9.5,negativo
2,dura ni,85,9.444444444444445,negativo
2,llego roto,85,9.444444444444445,negativo
2,no recibí,75,9.375,negativo
2,me llega,201,9.348837209302326,negativo
2,no enciende,84,9.333333333333334,negativo
2,no funcionan,321,9.304347826086957,negativo
2,amazon se,107,9.304347826086957,negativo
2,de septiembre,93,9.3,negativo
2,sirve no,79,9.294117647058824,negativo
2,mes se,106,9.217391304347826,negativo
2,un chasco,69,9.2,negativo
2,el importe,225,9.183673469387756,negativo
2,amazon debería,55,9.166666666666666,negativo
2,este vendedor,307,9.164179104477611,negativo
2,hay forma,164,9.11111111111111,negativo
2,estrella por,100,9.090909090909092,negativo
2,no cortan,50,9.090909090909092,negativo
2,funcionar correctamente,50,9.090909090909092,negativo
2,hoy es,50,9.090909090909092,negativo
2,siento pero,59,9.076923076923077,negativo
2,llegar no,59,9.076923076923077,negativo
2,amazon no,339,9.04,negativo
2,ponerme en,122,9.037037037037036,negativo
2,después no,54,9.0,negativo
2,al mes,279,9.0,negativo
2,no funcionó,90,9.0,negativo
2,roto en,166,8.972972972972974,negativo
2,dejaron de,94,8.952380952380953,negativo
2,decepcionada con,94,8.952380952380953,negativo
2,han mandado,179,8.95,negativo
2,de vuelta,85,8.947368421052632,negativo
2,nadie se,67,8.933333333333334,negativo
2,simplemente no,67,8.933333333333334,negativo
2,encima me,67,8.933333333333334,negativo
2,devolverlo y,116,8.923076923076923,negativo
2,dinero la,58,8.923076923076923,negativo
2,llegado es,58,8.923076923076923,negativo
2,nada se,254,8.912280701754385,negativo
2,dijeron que,178,8.9,negativo
2,funcionaba bien,129,8.89655172413793,negativo
2,devolvieron el,301,8.852941176470589,negativo
2,fatal y,66,8.8,negativo
2,un auricular,79,8.777777777777779,negativo
2,el periodo,57,8.76923076923077,negativo
2,una estrella,411,8.74468085106383,negativo
2,no pega,306,8.742857142857142,negativo
2,devolver la,61,8.714285714285714,negativo
2,estrella porque,209,8.708333333333334,negativo
2,semana no,74,8.705882352941176,negativo
2,han pasado,139,8.6875,negativo
2,lo devuelvo,338,8.666666666666666,negativo
2,llegó me,52,8.666666666666666,negativo
2,auricular derecho,52,8.666666666666666,negativo
2,devolví sin,52,8.666666666666666,negativo
2,en garantía,82,8.631578947368421,negativo
2,durado nada,56,8.615384615384615,negativo
2,me pone,99,8.608695652173912,negativo
2,me devolvieron,305,8.591549295774648,negativo
2,ningún golpe,73,8.588235294117647,negativo
2,empezo a,64,8.533333333333333,negativo
2,en absoluto,404,8.505263157894737,negativo
2,semanas no,51,8.5,negativo
2,recomiendo no,403,8.48421052631579,negativo
2,ha dejado,666,8.48407643312102,negativo
2,y mal,123,8.482758620689655,negativo
2,me dice,224,8.452830188679245,negativo
2,comprar algo,76,8.444444444444445,negativo
2,tercer día,59,8.428571428571429,negativo
2,me reembolsaron,59,8.428571428571429,negativo
2,ninguno de,143,8.411764705882353,negativo
2,no sirve,1294,8.402597402597403,negativo
2,hace días,63,8.4,negativo
2,nada he,63,8.4,negativo
2,pedido el,151,8.38888888888889,negativo
2,y amazon,130,8.387096774193548,negativo
2,una devolución,130,8.387096774193548,negativo
2,que ni,197,8.382978723404255,negativo
2,esperando la,67,8.375,negativo
2,hay manera,301,8.36111111111111,negativo
2,funcionar y,146,8.342857142857143,negativo
2,porque nunca,50,8.333333333333334,negativo
2,roto muy,50,8.333333333333334,negativo
2,mi paquete,54,8.307692307692308,negativo
2,no volveria,54,8.307692307692308,negativo
2,ninguna de,108,8.307692307692308,negativo
2,hoy me,54,8.307692307692308,negativo
2,llegado la,141,8.294117647058824,negativo
2,no cumplen,74,8.222222222222221,negativo
2,rota la,86,8.19047619047619,negativo
2,dos meses,657,8.161490683229813,negativo
2,muy inestable,53,8.153846153846153,negativo
2,a de,114,8.142857142857142,negativo
2,muy feo,65,8.125,negativo
2,no llego,211,8.115384615384615,negativo
2,meses ha,85,8.095238095238095,negativo
2,periodo de,89,8.090909090909092,negativo
2,llegó y,101,8.08,negativo
2,a devolverlo,129,8.0625,negativo
2,no corresponde,302,8.053333333333333,negativo
2,pena no,153,8.052631578947368,negativo
2,gusta nada,161,8.05,negativo
2,y ni,304,8.0,negativo
2,esta empresa,64,8.0,negativo
2,buenas opiniones,64,8.0,negativo
2,todavía estoy,64,8.0,negativo
2,no funcionaba,531,7.984962406015038,negativo
2,en mal,291,7.972602739726027,negativo
2,hoy no,99,7.92,negativo
2,recibido la,91,7.913043478260869,negativo
2,meses después,91,7.913043478260869,negativo
2,lo devolveré,83,7.904761904761905,negativo
2,de nada,482,7.901639344262295,negativo
2,meses no,154,7.897435897435898,negativo
2,retraso y,75,7.894736842105263,negativo
2,peor de,142,7.888888888888889,negativo
2,me siento,264,7.880597014925373,negativo
2,mal acabado,63,7.875,negativo
2,enviado el,59,7.866666666666666,negativo
2,lo entiendo,55,7.857142857142857,negativo
2,bastante malo,106,7.851851851851852,negativo
2,mal estado,349,7.842696629213483,negativo
2,una mala,133,7.823529411764706,negativo
2,nada un,82,7.809523809523809,negativo
2,llegó no,78,7.8,negativo
2,ha rajado,74,7.7894736842105265,negativo
2,nada lo,264,7.764705882352941,negativo
2,un correo,97,7.76,negativo
2,dinero para,62,7.75,negativo
2,artículo no,85,7.7272727272727275,negativo
2,de mes,135,7.714285714285714,negativo
2,llegado pero,50,7.6923076923076925,negativo
2,al segundo,250,7.6923076923076925,negativo
2,roto la,219,7.684210526315789,negativo
2,muy cutre,61,7.625,negativo
2,despega y,53,7.571428571428571,negativo
2,producto no,1418,7.562666666666667,negativo
2,dicen que,436,7.517241379310345,negativo
2,dinero el,75,7.5,negativo
2,los devolví,75,7.5,negativo
2,mes que,116,7.483870967741935,negativo
2,amazon para,101,7.481481481481482,negativo
2,nada las,86,7.478260869565218,negativo
2,empezó a,358,7.458333333333333,negativo
2,la devolví,220,7.4576271186440675,negativo
2,ni el,343,7.456521739130435,negativo
2,a llegar,93,7.44,negativo
2,me dan,130,7.428571428571429,negativo
2,pasado el,115,7.419354838709677,negativo
2,y comprar,115,7.419354838709677,negativo
2,la garantía,241,7.415384615384616,negativo
2,rotas y,63,7.411764705882353,negativo
2,al intentar,137,7.405405405405405,negativo
2,a amazon,333,7.4,negativo
2,comprarlo no,74,7.4,negativo
2,durado un,85,7.391304347826087,negativo
2,han enviado,325,7.386363636363637,negativo
2,defectuoso y,96,7.384615384615385,negativo
2,donde esta,70,7.368421052631579,negativo
2,endeble no,70,7.368421052631579,negativo
2,y nada,464,7.365079365079365,negativo
2,baja calidad,567,7.363636363636363,negativo
2,se rompio,162,7.363636363636363,negativo
2,se estropeó,121,7.333333333333333,negativo
2,es horrible,95,7.3076923076923075,negativo
2,a encender,62,7.294117647058823,negativo
2,y dinero,51,7.285714285714286,negativo
2,ni con,236,7.2615384615384615,negativo
2,una auténtica,98,7.2592592592592595,negativo
2,al tercer,87,7.25,negativo
2,se despegó,145,7.25,negativo
2,este proveedor,58,7.25,negativo
2,paquete y,192,7.245283018867925,negativo
2,devuelvo porque,141,7.230769230769231,negativo
2,un reembolso,65,7.222222222222222,negativo
2,y nunca,249,7.217391304347826,negativo
2,mi sorpresa,220,7.213114754098361,negativo
2,funcionar el,144,7.2,negativo
2,estaba roto,115,7.1875,negativo
2,muy pobre,97,7.185185185185185,negativo
2,mes y,535,7.181208053691275,negativo
2,signos de,61,7.176470588235294,negativo
2,que devolverla,118,7.151515151515151,negativo
2,producto venía,50,7.142857142857143,negativo
2,sin precinto,50,7.142857142857143,negativo
2,no y,50,7.142857142857143,negativo
2,abierto el,50,7.142857142857143,negativo
2,la agencia,57,7.125,negativo
2,el seguimiento,57,7.125,negativo
2,fin no,57,7.125,negativo
2,que tirar,153,7.116279069767442,negativo
2,euros por,64,7.111111111111111,negativo
2,no volvería,234,7.090909090909091,negativo
2,minutos de,124,7.085714285714285,negativo
2,servido de,53,7.066666666666666,negativo
2,imposible de,173,7.061224489795919,negativo
2,funciona lo,95,7.037037037037037,negativo
2,nada ya,63,7.0,negativo
2,lo compres,56,7.0,negativo
2,garantía y,63,7.0,negativo
2,opinar porque,73,6.9523809523809526,negativo
2,una lástima,205,6.9491525423728815,negativo
2,han durado,257,6.945945945945946,negativo
2,semana ya,59,6.9411764705882355,negativo
2,roto por,170,6.938775510204081,negativo
2,hacerlo funcionar,52,6.933333333333334,negativo
2,una empresa,52,6.933333333333334,negativo
2,he pagado,121,6.914285714285715,negativo
2,segundo día,190,6.909090909090909,negativo
2,táctil no,86,6.88,negativo
2,dos usos,55,6.875,negativo
2,pérdida de,113,6.848484848484849,negativo
2,y todavía,178,6.846153846153846,negativo
2,devolverlo pero,65,6.842105263157895,negativo
2,sido usado,65,6.842105263157895,negativo
2,volvió a,82,6.833333333333333,negativo
2,es imposible,440,6.821705426356589,negativo
2,ni a,167,6.816326530612245,negativo
2,diciendo que,102,6.8,negativo
2,nada solo,68,6.8,negativo
2,supone que,323,6.8,negativo
2,ha estropeado,153,6.8,negativo
2,nada la,336,6.787878787878788,negativo
2,fecha de,440,6.769230769230769,negativo
2,mismo problema,88,6.769230769230769,negativo
2,de espera,125,6.756756756756757,negativo
2,final tuve,54,6.75,negativo
2,la garantia,54,6.75,negativo
2,devolución pero,54,6.75,negativo
2,en apenas,54,6.75,negativo
2,nada a,209,6.741935483870968,negativo
2,ha roto,927,6.741818181818182,negativo
2,resulta que,256,6.7368421052631575,negativo
2,los minutos,128,6.7368421052631575,negativo
2,me funcionó,64,6.7368421052631575,negativo
2,estoy a,84,6.72,negativo
2,se fue,57,6.705882352941177,negativo
2,peor no,57,6.705882352941177,negativo
2,claramente que,67,6.7,negativo
2,semanas se,87,6.6923076923076925,negativo
2,tres meses,204,6.688524590163935,negativo
2,lo devolví,645,6.683937823834197,negativo
2,te envían,50,6.666666666666667,negativo
2,si llega,50,6.666666666666667,negativo
2,paquete el,50,6.666666666666667,negativo
2,y encima,463,6.661870503597123,negativo
2,han dejado,143,6.651162790697675,negativo
2,no aguantan,63,6.631578947368421,negativo
2,por segunda,53,6.625,negativo
2,los pedidos,53,6.625,negativo
2,primera semana,66,6.6,negativo
2,devolverlo por,56,6.588235294117647,negativo
2,pone que,517,6.585987261146497,negativo
2,malas condiciones,69,6.571428571428571,negativo
2,bastante mala,138,6.571428571428571,negativo
2,ya ni,69,6.571428571428571,negativo
2,meses el,82,6.56,negativo
2,se supone,364,6.558558558558558,negativo
2,lo devolvi,111,6.529411764705882,negativo
2,vuelvo a,238,6.52054794520548,negativo
2,que llegue,163,6.52,negativo
2,he perdido,101,6.516129032258065,negativo
2,no ha,1675,6.504854368932039,negativo
2,tarde y,143,6.5,negativo
2,con golpes,52,6.5,negativo
2,la gana,81,6.48,negativo
2,se empezó,68,6.476190476190476,negativo
2,pedido y,291,6.466666666666667,negativo
2,no cargaba,58,6.444444444444445,negativo
2,sido imposible,58,6.444444444444445,negativo
2,duran nada,58,6.444444444444445,negativo
2,semana de,248,6.441558441558442,negativo
2,que devolver,755,6.425531914893617,negativo
2,llega el,106,6.424242424242424,negativo
2,un mes,1760,6.423357664233577,negativo
2,lástima porque,77,6.416666666666667,negativo
2,devolución de,93,6.413793103448276,negativo
2,se partió,144,6.4,negativo
2,caro no,96,6.4,negativo
2,había sido,80,6.4,negativo
2,que pagar,134,6.380952380952381,negativo
2,hacer nada,86,6.37037037037037,negativo
2,se perdió,70,6.363636363636363,negativo
2,de repente,162,6.352941176470588,negativo
2,te mandan,54,6.352941176470588,negativo
2,estaba rota,92,6.344827586206897,negativo
2,muy incómodo,111,6.3428571428571425,negativo
2,no decir,57,6.333333333333333,negativo
2,devolverlo porque,114,6.333333333333333,negativo
2,lo han,421,6.330827067669173,negativo
2,los gastos,174,6.327272727272727,negativo
2,por tres,136,6.325581395348837,negativo
2,rota no,79,6.32,negativo
2,lo siguiente,60,6.315789473684211,negativo
2,pinta pero,110,6.285714285714286,negativo
2,perdido el,88,6.285714285714286,negativo
2,mes de,439,6.271428571428571,negativo
2,de ninguna,94,6.266666666666667,negativo
2,semana se,94,6.266666666666667,negativo
2,y pico,50,6.25,negativo
2,decepcionado la,50,6.25,negativo
2,otro vendedor,50,6.25,negativo
2,vale para,733,6.238297872340426,negativo
2,vuelven a,59,6.2105263157894735,negativo
2,mensaje de,59,6.2105263157894735,negativo
2,de mala,624,6.208955223880597,negativo
2,al poco,478,6.207792207792208,negativo
2,no reconoce,90,6.206896551724138,negativo
2,roto el,242,6.205128205128205,negativo
2,compra no,276,6.202247191011236,negativo
2,este pedido,93,6.2,negativo
2,gracias no,96,6.193548387096774,negativo
2,tercera vez,65,6.190476190476191,negativo
2,me pongo,65,6.190476190476191,negativo
2,rompió a,99,6.1875,negativo
2,recibir el,201,6.184615384615385,negativo
2,pero nunca,77,6.16,negativo
2,gustado no,77,6.16,negativo
2,vino roto,80,6.153846153846154,negativo
2,perder el,98,6.125,negativo
2,vino rota,52,6.117647058823529,negativo
2,recibirlo y,52,6.117647058823529,negativo
2,nada el,370,6.115702479338843,negativo
2,producto nuevo,55,6.111111111111111,negativo
2,paquete se,58,6.105263157894737,negativo
2,a roto,61,6.1,negativo
2,funciona la,186,6.098360655737705,negativo
2,meses me,64,6.095238095238095,negativo
2,nada al,140,6.086956521739131,negativo
2,meses se,213,6.085714285714285,negativo
2,ido a,76,6.08,negativo
2,que devolverlo,316,6.076923076923077,negativo
2,los meses,337,6.072072072072072,negativo
2,solo funciona,106,6.057142857142857,negativo
2,llego la,60,6.0,negativo
2,devolución por,51,6.0,negativo
2,pierde agua,72,6.0,negativo
2,me toca,69,6.0,negativo
2,roto una,86,5.931034482758621,negativo
2,devolví por,71,5.916666666666667,negativo
2,ni caso,62,5.904761904761905,negativo
2,no valen,183,5.903225806451613,negativo
2,ni lo,180,5.901639344262295,negativo
2,funcionaba el,53,5.888888888888889,negativo
2,sucio y,50,5.882352941176471,negativo
2,dia de,188,5.875,negativo
2,nada con,94,5.875,negativo
2,no han,311,5.867924528301887,negativo
2,absolutamente nada,117,5.85,negativo
2,rota y,272,5.849462365591398,negativo
2,mala y,73,5.84,negativo
2,han roto,213,5.835616438356165,negativo
